Ni,Ti,Si,Co,Pd,Mo,Fe,V,Cr,Al,Zr,Nb,Mn,Ta,Cu,Hf,Pt,B,HT-1K,HT-2K,T-min,As,Af,Ms,Mf,MsK,HT-1,HT-2,T,th
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,273,273,0,170,191,152,122,425,0,0,0,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,133,191,154,105,427,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,673,60,102,167,154,103,427,950,400,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,1173,60,156,178,155,133,428,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,60,184,217,157,124,430,950,500,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,60,123,180,157,112,430,950,500,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,60,175,192,158,137,431,950,500,1,
17.5,50,0,0,25,0,0,0,0,0,0,0,0,0,7.5,0,0,0,1223,873,60,133,188,159,120,432,950,600,1,
22,50,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,1223,773,60,166,179,161,146,434,950,500,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,170,189,161,142,434,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,168,184,161,138,434,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,156,188,161,133,434,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,148,212,161,109,434,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,177,201,163,143,436,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,173,186,166,151,439,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,673,60,180,210,166,136,439,950,400,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,175,187,167,152,440,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,172,185,167,151,440,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,171,184,167,150,440,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,150,222,167,112,440,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,165,189,168,150,441,950,900,1,
22,50,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,1223,1173,60,167,184,169,152,442,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,273,0,179,192,169,150,442,950,0,0,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,180,192,170,153,443,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,178,193,170,150,443,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,174,194,170,147,443,950,900,1,
22,50,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,1223,873,60,172,187,171,158,444,950,600,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,156,229,171,116,444,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,179,193,172,151,445,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,179,203,173,146,446,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,150,235,173,112,446,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,60,190,237,173,136,446,950,500,1,
22,50,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,1223,973,60,166,188,172,167,445,950,700,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,1173,60,166,189,176,155,449,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,273,0,188,209,176,149,449,950,0,0,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,138,206,176,120,449,950,900,1,
17.5,50,0,0,25,0,0,0,0,0,0,0,0,0,7.5,0,0,0,1223,1173,60,174,192,177,162,450,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,873,60,177,196,179,164,452,950,600,1,
