Ni,Ti,Si,Co,Pd,Mo,Fe,V,Cr,Al,Zr,Nb,Mn,Ta,Cu,Hf,Pt,B,HT-1,HT-2,T,As,Af,Ms,Mf
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,0,0,190,225,181,149
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,181,198,182,168
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,900,1,181,194,181,166
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,700,1,188,201,183,171
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,600,1,185,199,183,165
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,400,1,189,230,184,148
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,700,1,193,201,185,176
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,194,203,185,170
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,157,233,185,116
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,144,215,186,125
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,160,240,186,122
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,700,1,192,211,187,155
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,900,1,197,209,188,165
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,203,258,188,137
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,197,205,189,180
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,195,209,189,173
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,207,244,189,162
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,900,1,147,225,191,131
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,900,1,190,205,192,178
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,201,231,193,163
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,220,226,194,188
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,194,238,194,151
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,193,207,195,179
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,208,237,195,172
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,198,219,195,169
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,0,0,201,219,196,164
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,0,0,204,251,196,150
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,205,245,197,159
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,201,222,197,171
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,900,1,209,229,199,171
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,0.5,210,258,201,170
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,216,261,201,169
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,900,1,166,243,201,125
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,900,1,163,248,201,122
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,400,1,208,249,202,155
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,223,254,203,183
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,220,261,204,180
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,211,254,205,166
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,211,236,206,176
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,208,245,208,179
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,224,262,209,185
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,211,238,209,179
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,500,0.5,217,266,209,170
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,700,1,228,247,212,194
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,213,249,211,167
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,215,263,211,155
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,228,247,212,194
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,500,1,229,276,213,173
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,0,0,215,247,214,170
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,209,259,214,158
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,170,252,213,127
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,900,1,221,249,215,179
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,164,252,217,152
